,콘존ID,방향,grs80x,grs80y,노선번호,노선명,위도,경도
0,0010CZE010,E,391265.163647,297630.02646100003,10,경부선,35.25697666754968,129.10161366713092
1,0010CZE011,E,391642.593415,298552.164856,10,경부선,35.26521059610546,129.1059733294279
2,0010CZE011,E,391873.608131,299421.834737,10,경부선,35.2729997790806,129.1087135002581
3,0010CZE020,E,391448.58118000004,300529.00193,10,경부선,35.28305370547361,129.10430327530847
4,0010CZE030,E,391067.929665,300978.024563,10,경부선,35.287170900293816,129.1002263467395
5,0010CZE035,E,390059.302731,301623.740564,10,경부선,35.29317907509898,129.08929556790122
6,0010CZE035,E,389382.82991599996,302360.556185,10,경부선,35.299944088994344,129.08203362126667
7,0010CZE035,E,388711.868696,303102.642362,10,경부선,35.30675513580808,129.07483224681664
8,0010CZE035,E,388107.547365,303770.10128,10,경부선,35.31288105513666,129.06834487329718
9,0010CZE035,E,387520.44075500005,304313.835986,10,경부선,35.31788897962554,129.06201741379937
10,0010CZE035,E,386677.03135500004,305009.684786,10,경부선,35.32431465036835,129.0529068971188
11,0010CZE035,E,385987.400279,305385.561064,10,경부선,35.32782889939032,129.0454125823276
12,0010CZE035,E,385516.200027,306151.498323,10,경부선,35.33481570724234,129.04040690241987
13,0010CZE040,E,385975.65830500005,307607.915271,10,경부선,35.347849095493125,129.04578819958348
14,0010CZE040,E,385912.249616,308702.151962,10,경부선,35.357717288574385,129.04533967114966
15,0010CZE040,E,386058.046507,309677.401028,10,경부선,35.36647471816559,129.0471645968031
16,0010CZE040,E,386374.12978,310730.572653,10,경부선,35.37590219695107,129.05088049324604
17,0010CZE050,E,386513.67303,311314.243377,10,경부선,35.38113352552169,129.05254835954506
18,0010CZE050,E,386772.880475,312175.76303800003,10,경부선,35.388845131520874,129.0555961913706
19,0010CZE050,E,386953.864765,313156.791325,10,경부선,35.39764776228846,129.05781149963266
20,0010CZE050,E,387055.149982,313950.678958,10,경부선,35.40477963218443,129.05910760709907
21,0010CZE050,E,387293.11471500003,314713.332063,10,경부선,35.41160445756474,129.06190063942972
22,0010CZE050,E,387619.817434,315658.47378299996,10,경부선,35.42005622724823,129.06571257244812
23,0010CZE050,E,387739.201289,316449.425513,10,경부선,35.42715809628482,129.06720832517604
24,0010CZE050,E,388017.49528699997,317403.582993,10,경부선,35.435699982392805,129.0704909240994
25,0010CZE050,E,388497.962539,318162.126652,10,경부선,35.442441544056024,129.0759543073844
26,0010CZE050,E,388758.687252,319230.267561,10,경부선,35.45201312418207,129.0790715417209
27,0010CZE050,E,388981.69722,319998.804276,10,경부선,35.458893159476126,129.0817048029832
28,0010CZE050,E,389033.470613,320192.07623400004,10,경부선,35.46062415997338,129.08231965049058
29,0010CZE050,E,389346.02989,321140.60178699996,10,경부선,35.469108239504145,129.0859813264303
30,0010CZE050,E,389530.18209099997,321709.591682,10,경부선,35.474198130879806,129.08814143745826
31,0010CZE050,E,389751.524787,322886.774573,10,경부선,35.48475892677883,129.09085328458244
32,0010CZE055,E,389940.679979,323766.840152,10,경부선,35.49264961807273,129.0931419612704
33,0010CZE060,E,390204.755427,324729.992823,10,경부선,35.50127426870216,129.09627578252426
34,0010CZE060,E,390477.025739,325588.127563,10,경부선,35.50895133450878,129.09947595701416
35,0010CZE060,E,390763.69143,326546.621519,10,경부선,35.51752945262768,129.10285894720866
36,0010CZE060,E,390970.718789,327421.129102,10,경부선,35.52536630456412,129.10534548705846
37,0010CZE060,E,391323.963237,328244.17363699997,10,경부선,35.5327113747114,129.10943155073875
38,0010CZE060,E,392351.39781399997,330076.738294,10,경부선,35.54901835599075,129.1211872971024
39,0010CZE070,E,392773.255755,331090.697164,10,경부선,35.558068955570626,129.1260777681471
40,0010CZE080,E,393321.093087,333138.78094,10,경부선,35.57640881423423,129.13260503206482
41,0010CZE080,E,393491.149695,334024.178636,10,경부선,35.584350124208,129.13469153371705
42,0010CZE080,E,393706.313677,334896.527936,10,경부선,35.59216502807365,129.13727274817626
43,0010CZE080,E,394000.017828,335642.13758000004,10,경부선,35.598822962967105,129.14069021153077
44,0010CZE080,E,394510.415745,336948.44546300004,10,경부선,35.610488185081685,129.14663301972706
45,0010CZE080,E,395019.21197600005,337809.11724,10,경부선,35.61813971324509,129.15245235658935
46,0010CZE080,E,395349.714136,338857.19560700003,10,경부선,35.627514024184485,129.15635137552297
47,0010CZE080,E,395724.49501799996,339676.57769299997,10,경부선,35.63481965406341,129.16068440551726
48,0010CZE080,E,395991.838545,340641.885846,10,경부선,35.64346067541812,129.1638683062658
49,0010CZE080,E,396370.037944,341567.33662899997,10,경부선,35.651720579017976,129.16826649514329
50,0010CZE080,E,396692.515327,342407.580239,10,경부선,35.65922397138614,129.17202990063126
51,0010CZE080,E,397032.516659,343560.154196,10,경부선,35.66953666261699,129.17606382212512
52,0010CZE080,E,397289.154238,344608.095822,10,경부선,35.67892348412493,129.1791530055513
