,발생시간,메세지,경도,위도,고속도로,콘존ID,방향
2180,2017-01-14,경부고속도로 기흥IC북측(본선) 수원IC남측(본선) 4차로 승용차 관련사고 5차로에서 처리 중 정체 교통사고 -,127.104042850449,37.2261207459235,경부고속도로,"['0010CZS470', '0010CZE470', 10.531913023463987, 10.531913023463987]",0
2181,2017-01-14,경부고속도로 오산IC남측(본선) 안성JC북측(경부선본선) 4차로 버스 관련사고 처리 중 교통사고 주의운전,127.085492411776,37.1392318622576,경부고속도로,"['0010CZS470', '0010CZE470', 16.47438555972779, 16.47438555972779]",0
2182,2017-01-14,경부고속도로 오산IC남측(본선) 안성JC북측(경부선본선) 23차로 승용차 관련사고 처리 중 교통사고 주의운전,127.085370342725,37.1396103796234,경부고속도로,"['0010CZS470', '0010CZE470', 16.45078899659092, 16.45078899659092]",0
2183,2017-01-14,경부고속도로 기흥IC북측(본선) 수원IC남측(본선) 1차로 승용차 관련사고 처리 중 정체 교통사고 주의운전,127.105217615289,37.2278057894709,경부고속도로,"['0010CZS470', '0010CZE470', 10.421034125783548, 10.421034125783548]",0
2184,2017-01-15,대왕판교로712번길 외곽순환고속도로 성남ic 경부고속도로판교방향 진출로 2차로 주의운전 교통사고 -,127.103313049955,37.4076830565518,경부고속도로,"['0010CZS470', '0010CZE470', 0.9009232500519516, 0.9009232500519516]",0
2185,2017-01-15,경부고속도로 안성IC북측(본선) 안성JC남측(경부선본선) 23차로 승용차 관련사고 정체 교통사고 -,127.151819799733,37.0006948803841,경부고속도로,"['0010CZS470', '0010CZE470', 26.230394060627678, 26.230394060627678]",0
2186,2017-01-15,경부고속도로 서울T/G 신갈JC북측(경부선본선) 4차로 5차로에서 승용차 관련사고 처리 중 교통사고 주의운전,127.103184653829,37.360055576421,경부고속도로,"['0010CZS470', '0010CZE470', 1.547223509660869, 1.547223509660869]",0
2187,2017-01-16,경부고속도로 한남방향 잠원IC 올림픽대로 공항방향 진입램프 1차로 후미정체 주의운행 전복 서울청,127.016928288,37.5216780510105,경부고속도로,"['0010CZS522', '0010CZE522', 0.3755756559947213, 0.3755756559947213]",0
2188,2017-01-16,경부고속도로 달래내고개 양재IC 2차로 지체 교통사고 서울청,127.040823937219,37.4626473083194,경부고속도로,"['0010CZS505', '0010CZE505', 0.4602826242022699, 0.4602826242022699]",0
2189,2017-01-16,경부고속도로 달래네고개 양재IC 1차로 . 교통사고 서울청,127.043572782889,37.4597318841032,경부고속도로,"['0010CZS505', '0010CZE505', 0.09762111857135031, 0.09762111857135031]",0
2190,2017-01-16,경부고속도로 양재IC 서초IC 2차로 . 교통사고 서울청,127.036441462306,37.4672843682136,경부고속도로,"['0010CZS510', '0010CZE510', 0.316114456413187, 0.316114456413187]",0
2191,2017-01-16,경부고속도로 기흥IC북측(본선) 수원IC남측(본선) 2차로 주의운전 교통사고 추가내용,127.107132272212,37.2325800540258,경부고속도로,"['0010CZS470', '0010CZE470', 10.108067769596834, 10.108067769596834]",0
2192,2017-01-16,경부고속도로 서초IC 양재IC 3차로 . 교통사고 서울청,127.027933536394,37.4778883216909,경부고속도로,"['0010CZS510', '0010CZE510', 0.29397133681519133, 0.29397133681519133]",0
2193,2017-01-16,경부고속도로 반포IC 잠원IC 4차로 (승용차-승용차). 후미 지체 교통사고 서울청,127.017359418554,37.5063869761783,경부고속도로,"['0010CZS521', '0010CZE521', 0.17755406938183527, 0.17755406938183527]",0
