,콘존ID,콘존길이,기점종점방향구분코드,노선번호,노선구성순번,시작노드명,종료노드명,시작노드좌표,종료노드좌표
0,0010CZE005,200.00,E,0010,1,경부고속국도시점,구서IC,"[-1, -1]","[129.1, 35.249]"
1,0010CZE010,1820.00,E,0010,2,구서IC,영락IC,"[129.1, 35.249]","[-1, -1]"
2,0010CZE011,1990.00,E,0010,3,영락IC,부산TG,"[-1, -1]","[128.873, 35.172]"
3,0010CZE020,1070.00,E,0010,4,부산TG,노포,"[128.873, 35.172]","[129.093, 35.28]"
4,0010CZE030,7780.00,E,0010,5,노포IC,노포JC,"[129.097, 35.29]","[129.087, 35.295]"
5,0010CZE035,7280.00,E,0010,6,노포JC,양산JC,"[129.087, 35.295]","[-1, -1]"
6,0010CZE040,5080.00,E,0010,7,양산JC,양산IC,"[-1, -1]","[129.03, 35.322]"
7,0010CZE050,14110.00,E,0010,8,양산IC,통도사IC,"[129.03, 35.322]","[129.092, 35.487]"
8,0010CZE055,1050.00,E,0010,9,통도사IC,서울산IC,"[129.092, 35.487]","[129.126, 35.56]"
9,0010CZE060,6430.00,E,0010,10,통도사IC,서울산IC,"[129.092, 35.487]","[129.126, 35.56]"
10,0010CZE070,1630.00,E,0010,11,서울산IC,언양JC,"[129.126, 35.56]","[129.129, 35.565]"
