,콘존ID,방향,grs80x,grs80y,노선번호,노선명
92,0010CZE110,E,375090.811578,370814.479545,0010,경부선
93,0010CZE110,E,374708.418500,370006.956386,0010,경부선
94,0010CZE110,E,374142.686574,369306.383710,0010,경부선
95,0010CZE110,E,373289.984532,368897.966978,0010,경부선
96,0010CZE110,E,372392.895781,368973.668304,0010,경부선
97,0010CZE110,E,371621.948841,368799.208217,0010,경부선
98,0010CZE110,E,370727.042022,368159.992416,0010,경부선
99,0010CZE110,E,369903.446524,367592.357393,0010,경부선
100,0010CZE110,E,368900.836111,367147.198754,0010,경부선
101,0010CZE110,E,367944.693460,366853.150639,0010,경부선
102,0010CZE110,E,366988.550409,366559.103933,0010,경부선
103,0010CZE110,E,366032.406859,366265.058639,0010,경부선
104,0010CZE110,E,365068.751321,365997.292583,0010,경부선
105,0010CZE110,E,364077.519270,365990.745813,0010,경부선
106,0010CZE110,E,363084.840681,365968.961813,0010,경부선
107,0010CZE110,E,361842.174736,365877.522435,0010,경부선
108,0010CZE120,E,360857.766102,366003.560353,0010,경부선
109,0010CZE120,E,359719.116335,366080.980837,0010,경부선
110,0010CZE120,E,358992.933903,365554.242487,0010,경부선
111,0010CZE120,E,358178.617316,365165.364324,0010,경부선
112,0010CZE120,E,357342.797532,365256.573893,0010,경부선
113,0010CZE120,E,356310.803171,365562.212553,0010,경부선
114,0010CZE120,E,355312.916811,365659.820758,0010,경부선
115,0010CZE120,E,354319.644366,365786.182182,0010,경부선
116,0010CZE120,E,353168.927927,366582.891821,0010,경부선
117,0010CZE130,E,352525.425857,367057.823242,0010,경부선
118,0010CZE130,E,351802.198890,367591.592528,0010,경부선
119,0010CZE130,E,351192.277797,368364.804976,0010,경부선
120,0010CZE130,E,350695.239459,369230.796817,0010,경부선
121,0010CZE140,E,349937.656925,369677.586332,0010,경부선
122,0010CZE140,E,349082.290227,369953.837442,0010,경부선
123,0010CZE140,E,348094.926151,370060.180295,0010,경부선
124,0010CZE140,E,347096.363263,370079.208178,0010,경부선
125,0010CZE140,E,346011.618025,369947.266147,0010,경부선
126,0010CZE140,E,345233.966562,369763.822303,0010,경부선
127,0010CZE140,E,344261.900259,369534.527382,0010,경부선
128,0010CZE140,E,343395.525209,369295.449540,0010,경부선
129,0010CZE150,E,342139.894776,368965.070639,0010,경부선
130,0010CZE150,E,341000.489474,368597.646549,0010,경부선
131,0010CZE150,E,340376.694307,368137.039546,0010,경부선
132,0010CZE150,E,339546.708060,367655.609240,0010,경부선
133,0010CZE150,E,338490.666984,367355.629039,0010,경부선
134,0010CZE160,E,337323.524045,367291.647186,0010,경부선
135,0010CZE160,E,336239.173252,367443.857319,0010,경부선
136,0010CZE160,E,335060.726940,367718.606728,0010,경부선
137,0010CZE160,E,334738.686906,368556.752540,0010,경부선
138,0010CZE160,E,334365.935150,369482.960110,0010,경부선
139,0010CZE160,E,334007.311155,370307.190396,0010,경부선
140,0010CZE160,E,333637.628815,371125.917628,0010,경부선
141,0010CZE160,E,332712.941545,371688.328717,0010,경부선
142,0010CZE160,E,332017.163837,372226.679533,0010,경부선
143,0010CZE160,E,331498.229947,373078.838941,0010,경부선
144,0010CZE160,E,331309.975113,373956.435217,0010,경부선
145,0010CZE170,E,331123.029104,374937.382493,0010,경부선
146,0010CZE170,E,329500.582577,376201.730037,0010,경부선
147,0010CZE170,E,330176.300266,375775.392661,0010,경부선
148,0010CZE180,E,328830.115068,377267.254787,0010,경부선
149,0010CZE180,E,328739.502913,378061.071690,0010,경부선
150,0010CZE180,E,328637.402801,379154.113613,0010,경부선
151,0010CZE180,E,328809.822026,380137.250310,0010,경부선
152,0010CZE180,E,328899.912229,381312.703120,0010,경부선
153,0010CZE180,E,328076.590251,381794.515542,0010,경부선
154,0010CZE180,E,327429.819106,382228.231900,0010,경부선
